Rank,City,State,Population.2017,Census.2010,Change,Land.Area.2016.sqmi,Land.Area.2016.km2,Population.Density.2016.sqmi,Population.Density.2016.km2,Location.Lon,Location.Lat,Climate.URL,key,city.x,state.x,high.jan,high.feb,high.mar,high.apr,high.may,high.jun,high.jul,high.aug,high.sep,high.oct,high.nov,high.dec,low.jan,low.feb,low.mar,low.apr,low.may,low.jun,low.jul,low.aug,low.sep,low.oct,low.nov,low.dec,avg.precip.jan,avg.precip.feb,avg.precip.mar,avg.precip.apr,avg.precip.may,avg.precip.jun,avg.precip.jul,avg.precip.aug,avg.precip.sep,avg.precip.oct,avg.precip.nov,avg.precip.dec,days.precip.jan,days.precip.feb,days.precip.mar,days.precip.apr,days.precip.may,days.precip.jun,days.precip.jul,days.precip.aug,days.precip.sep,days.precip.oct,days.precip.nov,days.precip.dec,hours.sun.jan,hours.sun.feb,hours.sun.mar,hours.sun.apr,hours.sun.may,hours.sun.jun,hours.sun.jul,hours.sun.aug,hours.sun.sep,hours.sun.oct,hours.sun.nov,hours.sun.dec,snow.jan,snow.feb,snow.mar,snow.apr,snow.may,snow.jun,snow.jul,snow.aug,snow.sep,snow.oct,snow.nov,snow.dec,city.y,state.y,annual.high,annual.low,avg.tmp,avg.annual.precip,annual.days.precip,annual.hours.sunshine,avg.snowfall,State.Abbr,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families
220,Athens,Georgia,125691,115452,0.0887,116.4,301.5,1060,410,33.9496N,83.3701W,https://www.usclimatedata.com/climate/athens/georgia/united-states/usga0027,"Athens, Georgia",Athens,Georgia,54,58,66,74,82,89,91,90,84,74,65,56,33,36,42,49,58,66,70,69,63,51,42,35,4.06,4.49,4.45,3.15,2.99,4.17,4.49,3.54,3.94,3.54,3.82,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,Athens,Georgia,73.6,51.2,62.4,46.38,NA,NA,NA,GA,0,0,0,26.7,0.9,0.35,0.42
221,Round Rock,Texas,123678,99887,0.2382,35.6,92.2,3396,1311,30.5252N,97.6660W,https://www.usclimatedata.com/climate/austin/texas/united-states/ustx2742,"Austin, Texas",Austin,Texas,62,65,72,80,87,92,96,97,91,82,71,63,42,45,51,59,67,72,74,75,69,61,51,42,2.2,2.01,2.76,2.09,4.37,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,2.36,2.99,3.9,2.95,2.4,NA,NA,NA,NA,NA,NA,Austin,Texas,79.8,59,69.4,34.25,NA,NA,NA,TX,22,33,0,33.2,1,0.56,0.56
222,Hartford,Connecticut,123400,124775,-0.011,17.4,45.1,7083,2735,41.7659N,72.6816W,https://www.usclimatedata.com/climate/hartford/connecticut/united-states/usct0094,"Hartford, Connecticut",Hartford,Connecticut,35,38,47,58,70,79,84,82,74,63,51,40,16,19,27,38,48,57,63,61,51,40,32,22,3.66,2.64,3.62,3.82,3.98,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94,3.82,3.82,3.9,3.78,3.43,NA,NA,NA,NA,NA,NA,Hartford,Connecticut,60.1,39.5,49.8,44.23,NA,NA,NA,CT,71,53,54,30.6,0.9,0.3,0.5
223,Norman,Oklahoma,122843,110925,0.1074,178.8,463.1,683,264,35.2406N,97.3453W,https://www.usclimatedata.com/climate/norman/oklahoma/united-states/usok0893,"Norman, Oklahoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OK,30,55,0,30.3,1,0.46,0.44
224,Victorville,California,122441,115903,0.0564,73.3,189.8,1668,644,34.5277N,117.3536W,https://www.usclimatedata.com/climate/victorville/california/united-states/usca1197,"Victorville, California",Victorville,California,60,63,69,75,85,94,100,99,93,81,69,59,31,35,39,43,50,56,62,62,56,46,37,31,1.1,1.22,0.87,0.35,0.16,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.35,0.47,1.02,NA,NA,NA,NA,NA,NA,Victorville,California,78.9,45.7,62.3,6.18,NA,NA,NA,CA,19,32,22,29.4,1,0.49,0.52
225,Fargo,North Dakota,122359,105549,0.1593,49.3,127.7,2450,950,46.8652N,96.8290W,https://www.usclimatedata.com/climate/fargo/north-dakota/united-states/usnd0115,"Fargo, North Dakota",Fargo,North Dakota,18,24,36,56,69,77,83,81,71,56,37,22,0,6,19,33,45,55,60,57,47,35,20,6,0.71,0.59,1.3,1.38,2.8,3.9,2.8,2.56,2.56,2.17,0.98,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,9,3,0,0,0,0,0,1,8,11,Fargo,North Dakota,52.5,31.9,42.2,22.58,NA,NA,NA,ND,44,46,25,30.5,1,0.46,0.49
226,Berkeley,California,122324,112580,0.0866,10.5,27.2,11547,4458,37.8670N,122.2991W,https://www.usclimatedata.com/climate/berkeley/california/united-states/usca0087,"Berkeley, California",Berkeley,California,58,62,64,67,70,73,74,74,75,73,65,59,42,44,46,47,49,52,53,54,53,51,47,43,4.96,5.2,3.86,1.65,0.87,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.08,0.24,1.38,3.31,5.04,NA,NA,NA,NA,NA,NA,Berkeley,California,67.8,48.4,58.1,26.75,NA,NA,NA,CA,81,85,59,31.4,0.9,0.36,0.4
227,Vallejo,California,122105,115942,0.0532,30.7,79.5,3951,1525,38.1079N,122.2640W,https://www.usclimatedata.com/climate/san-francisco/california/united-states/usca0987,"San Francisco, California",San Francisco,California,57,60,62,63,64,66,67,68,70,69,63,57,46,47,49,49,51,53,54,55,55,54,50,46,4.49,4.45,3.27,1.46,0.71,0.16,1,1,1,4,7,10,11,11,10,6,4,2,300,272,267,243,189,156,165,182,251,281,314,330,NA,NA,NA,NA,NA,NA,0,0.08,0.2,1.1,3.15,4.57,NA,NA,NA,NA,NA,NA,San Francisco,California,63.8,50.8,57.3,23.64,NA,2950,NA,CA,42,33,0,38.3,0.9,0.48,0.4
228,Abilene,Texas,121885,117063,0.0412,106.7,276.4,1146,442,32.4545N,99.7381W,https://www.usclimatedata.com/climate/abilene/texas/united-states/ustx1798,"Abilene, Texas",Abilene,Texas,57,60,69,77,85,91,94,94,87,77,66,57,33,37,44,52,61,69,72,72,64,54,43,34,1.02,1.38,1.73,1.65,3.19,3.54,1.85,2.6,2.24,2.99,1.42,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,0,0,0,0,0,1,1,Abilene,Texas,76.2,52.9,64.55,24.83,NA,NA,NA,TX,31,37,0,31.2,1.1,0.51,0.43
229,Columbia,Missouri,121717,108500,0.1218,65,168.3,1856,717,38.9473N,92.3264W,https://www.usclimatedata.com/climate/columbia/missouri/united-states/usmo0193,"Columbia, Missouri",Columbia,Missouri,38,44,55,66,74,83,88,87,79,67,54,41,21,25,34,44,53,63,67,65,56,45,35,24,1.93,2.24,2.91,4.49,4.96,4.49,4.37,4.37,3.86,3.31,3.27,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,0,0,0,0,0,0,0,1,5,Columbia,Missouri,64.7,44.3,54.5,42.64,NA,NA,NA,MO,30,37,0,27.4,0.9,0.42,0.48
230,Ann Arbor,Michigan,121477,113934,0.0662,28.1,72.8,4298,1659,42.2761N,83.7309W,https://www.usclimatedata.com/climate/ann-arbor/michigan/united-states/usmi0028,"Ann Arbor, Michigan",Ann Arbor,Michigan,31,35,46,60,71,80,83,81,74,61,48,35,18,20,27,38,48,58,62,61,53,42,33,23,2.6,2.4,2.68,3.23,3.43,3.66,3.62,3.7,3.46,2.83,3.07,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,9,3,0,0,0,0,0,0,3,13,Ann Arbor,Michigan,58.8,40.3,49.55,37.55,NA,NA,NA,MI,51,68,45,27.5,1,0.37,0.42
231,Allentown,Pennsylvania,121283,118032,0.0275,17.5,45.3,6882,2657,40.5936N,75.4784W,https://www.usclimatedata.com/climate/allentown/pennsylvania/united-states/uspa0025,"Allentown, Pennsylvania",Allentown,Pennsylvania,36,40,49,61,71,80,84,82,75,64,53,40,20,22,29,38,48,58,63,61,53,41,33,24,3.03,2.72,3.39,3.54,4.13,4.29,4.96,3.7,4.61,3.9,3.5,3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,5,1,0,0,0,0,0,0,1,5,Allentown,Pennsylvania,61.3,40.8,51.05,45.35,NA,NA,NA,PA,66,41,36,32.3,0.9,0.4,0.51
232,Pearland,Texas,119940,91252,0.3144,46.3,119.9,2453,947,29.5558N,95.3231W,https://www.usclimatedata.com/climate/pearland/texas/united-states/ustx2267,"Pearland, Texas",Pearland,Texas,62,66,72,78,85,90,92,92,88,81,72,64,44,48,53,60,68,74,74,74,70,62,53,46,4.21,3.19,3.03,3.5,4.53,5.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72,4.33,5.28,5.47,4.76,4.09,NA,NA,NA,NA,NA,NA,Pearland,Texas,78.5,60.5,69.5,52.66,NA,NA,NA,TX,20,35,0,34.7,1,0.67,0.57
233,Beaumont,Texas,119114,118296,0.0069,82.1,212.6,1441,556,30.0849N,94.1453W,https://www.usclimatedata.com/climate/beaumont/texas/united-states/ustx2144,"Beaumont, Texas",Beaumont,Texas,62,64,71,78,85,90,92,93,88,81,72,63,42,45,51,58,67,73,75,74,69,60,51,42,4.96,3.86,3.5,2.91,5.2,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.18,4.96,6.34,5.55,4.72,5,NA,NA,NA,NA,NA,NA,Beaumont,Texas,78.3,58.9,68.6,60.38,NA,NA,NA,TX,33,38,0,33.8,0.9,0.49,0.47
234,Wilmington,North Carolina,119045,106476,0.118,51.6,133.6,2278,880,34.2092N,77.8858W,https://www.usclimatedata.com/climate/wilmington/north-carolina/united-states/usnc0760,"Wilmington, North Carolina",Wilmington,North Carolina,56,60,66,74,81,87,90,88,84,76,68,59,36,38,44,52,60,69,73,71,66,55,45,38,3.78,3.62,4.21,2.83,4.49,5.2,7.48,7.4,7.83,3.9,3.31,3.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,Wilmington,North Carolina,74.1,53.9,64,57.67,NA,NA,NA,NC,34,48,20,35.4,0.9,0.45,0.41
235,Evansville,Indiana,118930,117429,0.0128,47.3,122.5,2526,975,37.9877N,87.5347W,https://www.usclimatedata.com/climate/evansville/indiana/united-states/usin0190,"Evansville, Indiana",Evansville,Indiana,41,46,57,68,77,86,89,88,81,70,56,44,24,27,35,45,55,64,67,65,57,46,36,27,3.11,3.19,4.25,4.37,5.35,3.78,3.94,2.99,3.03,3.27,4.33,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,0,0,0,0,0,0,0,0,3,Evansville,Indiana,66.9,45.7,56.3,45.39,NA,NA,NA,IN,42,42,0,36.6,0.9,0.48,0.45
236,Arvada,Colorado,118807,106433,0.1163,38.6,100,3043,1175,39.8337N,105.1503W,https://www.usclimatedata.com/climate/denver/colorado/united-states/usco0105,"Denver, Colorado",Denver,Colorado,44,46,54,61,71,81,88,86,77,65,52,43,17,20,26,34,44,53,59,57,47,36,25,17,0.47,0.47,1.26,1.73,2.28,1.69,2.05,2.05,1.06,1.06,0.83,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,11,7,1,0,0,0,1,4,9,9,Denver,Colorado,64,36.3,50.15,15.54,NA,NA,NA,CO,39,49,29,40.7,1,0.59,0.41
237,Provo,Utah,117335,112488,0.0431,41.7,108,2803,1082,40.2453N,111.6448W,https://www.usclimatedata.com/climate/provo/utah/united-states/usut0208,"Provo, Utah",Provo,Utah,40,46,56,65,75,85,94,92,82,67,52,40,22,26,33,39,47,54,61,60,51,40,31,24,1.89,1.85,1.93,2.01,2.09,1.18,0.75,0.98,1.46,2.01,1.69,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,7,4,0,0,0,0,0,1,7,14,Provo,Utah,66.2,40.7,53.45,19.77,NA,NA,NA,UT,47,62,31,23.6,1,0.48,0.45
238,Independence,Missouri,117306,116830,0.0041,77.8,201.5,1504,581,39.0855N,94.3521W,https://www.usclimatedata.com/climate/independence/missouri/united-states/usmo0441,"Independence, Missouri",Independence,Missouri,38,44,55,65,75,83,88,87,79,67,54,41,20,24,33,43,54,63,68,66,57,45,34,23,1.46,1.77,2.91,4.13,5.2,5.75,4.84,4.29,5.24,3.46,2.56,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,0,0,0,0,0,0,0,2,4,Independence,Missouri,64.7,44.2,54.45,43.62,NA,NA,NA,MO,26,25,20,40.1,0.9,0.54,0.4
239,Lansing,Michigan,116986,114297,0.0235,39.1,101.3,2967,1146,42.7143N,84.5593W,https://www.usclimatedata.com/climate/lansing/michigan/united-states/usmi0477,"Lansing, Michigan",Lansing,Michigan,30,33,44,58,69,78,82,80,73,60,47,34,17,19,26,37,47,57,61,59,51,41,32,22,1.65,1.46,2.05,3.03,3.35,3.46,2.83,3.23,3.5,2.52,2.8,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,7,2,0,0,0,0,0,0,3,13,Lansing,Michigan,57.3,39.1,48.2,31.73,NA,NA,NA,MI,45,55,33,32,0.9,0.4,0.49
240,Odessa,Texas,116861,99940,0.1693,45.2,117.1,2608,1007,31.8838N,102.3411W,https://www.usclimatedata.com/climate/odessa/texas/united-states/ustx2587,"Odessa, Texas",Odessa,Texas,58,63,71,79,88,93,95,94,87,78,67,58,33,36,44,51,61,69,72,71,64,52,40,32,0.59,0.71,0.63,0.75,2.17,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,1.69,1.85,1.54,0.71,0.63,NA,NA,NA,NA,NA,NA,Odessa,Texas,77.6,52.1,64.85,14.65,NA,NA,NA,TX,42,41,0,30.8,1,0.54,0.48
241,Richardson,Texas,116783,99223,0.177,28.6,74.1,3963,1530,32.9723N,96.7081W,https://www.usclimatedata.com/climate/richardson/texas/united-states/ustx1737,"Richardson, Texas",Richardson,Texas,56,59,67,75,83,89,94,95,88,78,66,57,34,38,45,54,64,70,74,74,66,55,45,36,2.6,3.03,3.74,3.46,5.47,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56,2.17,3.15,4.8,3.27,2.99,NA,NA,NA,NA,NA,NA,Richardson,Texas,75.6,54.6,65.1,41.49,NA,NA,NA,TX,43,47,32,37.3,1,0.61,0.44
242,Fairfield,California,116266,105321,0.1039,40.9,105.9,2806,1083,38.2593N,122.0321W,https://www.usclimatedata.com/climate/fairfield/california/united-states/usca0364,"Fairfield, California",Fairfield,California,55,61,66,71,78,85,89,89,86,78,65,55,39,42,45,47,52,56,56,57,56,51,44,39,4.76,4.88,3.43,1.34,0.75,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.2,1.22,2.95,5.08,NA,NA,NA,NA,NA,NA,Fairfield,California,73.2,48.7,60.95,24.89,NA,NA,NA,CA,35,39,0,34.4,1,0.55,0.47
243,El Monte,California,116109,113475,0.0232,9.6,24.9,12063,4658,34.0746N,118.0291W,https://www.usclimatedata.com/climate/los-angeles/california/united-states/usca1339,"Los Angeles, California",Los Angeles,California,67,67,67,69,70,73,77,79,78,75,71,67,51,51,51,53,56,58,62,62,62,59,55,51,3.98,5.08,2.83,0.98,0.31,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.24,0.91,1.38,2.76,NA,NA,NA,NA,NA,NA,Los Angeles,California,71.7,55.9,63.8,18.67,NA,NA,NA,CA,60,54,0,35.4,1,0.51,0.45
244,Rochester,Minnesota,115733,106769,0.084,54.6,141.4,2088,806,44.0154N,92.4772W,https://www.usclimatedata.com/climate/rochester/minnesota/united-states/usmn0632,"Rochester, Minnesota",Rochester,Minnesota,24,28,40,57,69,78,81,79,71,58,42,27,8,12,24,36,47,57,61,59,50,38,26,12,0.87,0.83,1.89,3.23,3.62,4.69,4.57,4.53,3.46,2.24,1.93,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,9,9,3,0,0,0,0,0,1,6,13,Rochester,Minnesota,54.5,35.8,45.15,33.08,NA,NA,NA,MN,30,56,0,35.4,1,0.57,0.49
245,Clearwater,Florida,115513,107685,0.0727,25.9,67.1,4415,1705,27.9789N,82.7666W,https://www.usclimatedata.com/climate/clearwater/florida/united-states/usfl0866,"Clearwater, Florida",Clearwater,Florida,71,73,76,82,86,90,91,91,89,84,78,72,52,55,59,63,69,74,76,76,75,69,62,55,2.91,3.03,3.54,2.6,2.76,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.29,8.31,7.01,2.8,2.05,2.91,NA,NA,NA,NA,NA,NA,Clearwater,Florida,81.9,65.4,73.65,54.73,NA,NA,NA,FL,43,56,29,43.8,1,0.52,0.36
246,Carlsbad,California,115330,105328,0.095,37.7,97.6,3023,1167,33.1239N,117.2828W,https://www.usclimatedata.com/climate/carlsbad/california/united-states/usca1608,"Carlsbad, California",Carlsbad,California,64,64,64,66,67,70,73,75,75,72,68,64,47,48,50,53,57,60,63,65,63,58,51,47,2.52,2.44,1.69,1.02,0.2,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.08,0.24,0.63,1.1,1.69,NA,NA,NA,NA,NA,NA,Carlsbad,California,68.5,55.2,61.85,11.85,NA,NA,NA,CA,31,25,23,42.3,1,0.61,0.44
247,Springfield,Illinois,114868,116250,-0.0119,60.1,155.7,1925,743,39.7911N,89.6446W,https://www.usclimatedata.com/climate/springfield/illinois/united-states/usil1114,"Springfield, Illinois",Springfield,Illinois,35,40,52,65,75,83,86,85,79,66,52,38,19,23,32,42,53,62,65,64,55,44,34,22,1.81,1.81,2.64,3.5,4.25,4.45,3.94,3.23,2.91,3.15,3.23,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,3,0,0,0,0,0,0,0,1,6,Springfield,Illinois,63,42.9,52.95,37.44,NA,NA,NA,IL,34,44,0,38.6,0.9,0.49,0.44
248,Temecula,California,114327,100097,0.1422,37.3,96.6,3031,1170,33.4931N,117.1317W,https://www.usclimatedata.com/climate/temecula/california/united-states/usca1721,"Temecula, California",Temecula,California,67,68,69,71,76,81,86,90,88,81,74,67,47,47,48,50,53,56,60,61,61,57,51,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temecula,California,76.5,52.9,64.7,NA,NA,NA,NA,CA,28,27,0,34.3,1,0.59,0.54
249,West Jordan,Utah,113905,103712,0.0983,32.3,83.7,3520,1360,40.6024N,112.0008W,https://www.usclimatedata.com/climate/salt-lake-city/utah/united-states/usut0225,"Salt Lake City, Utah",Salt Lake City,Utah,38,44,53,61,71,82,90,89,78,65,50,40,26,31,38,43,52,61,69,67,58,46,36,27,1.46,1.5,2.2,2.32,2.09,1.14,0.59,0.71,1.54,1.65,1.77,1.61,10,9,10,9,8,5,4,6,5,6,7,9,137,155,227,269,329,358,377,346,306,249,171,135,11,10,6,3,0,0,0,0,0,0,7,10,Salt Lake City,Utah,63.4,46.2,54.8,18.58,NA,3059,NA,UT,27,37,29,30.5,1,0.59,0.55
250,Costa Mesa,California,113825,109960,0.0351,15.7,40.7,7186,2775,33.6659N,117.9123W,https://www.usclimatedata.com/climate/costa-mesa/california/united-states/usca1758,"Costa Mesa, California",Costa Mesa,California,67,66,67,69,72,74,78,80,79,75,71,66,47,49,51,54,58,61,64,65,64,59,52,46,2.91,2.95,1.89,0.91,0.24,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.24,0.75,1.26,2.09,NA,NA,NA,NA,NA,NA,Costa Mesa,California,72,55.8,63.9,13.4,NA,NA,NA,CA,62,64,40,34.5,1.1,0.47,0.45
251,Miami Gardens,Florida,113750,107167,0.0614,18.2,47.1,6212,2398,25.9489N,80.2436W,https://www.usclimatedata.com/climate/miami/florida/united-states/usfl0316,"Miami, Florida",Miami,Florida,76,78,80,83,87,89,91,91,89,86,82,78,60,62,65,68,73,76,77,77,76,74,68,63,1.61,2.24,2.99,3.15,5.35,9.69,17,16,18,15,8,7,6,5,6,7,10,13,267,263,216,215,212,209,222,227,266,275,280,251,NA,NA,NA,NA,NA,NA,6.5,8.9,9.84,6.34,3.27,2.05,NA,NA,NA,NA,NA,NA,Miami,Florida,84.2,69.9,77.05,61.93,NA,2903,NA,FL,43,44,42,35.7,0.9,0.37,0.38
252,Cambridge,Massachusetts,113630,105162,0.0805,6.4,16.6,17289,6675,42.3760N,71.1187W,https://www.usclimatedata.com/climate/boston/massachusetts/united-states/usma0046,"Boston, Massachusetts",Boston,Massachusetts,36,39,45,56,66,76,81,80,72,61,51,41,22,25,31,41,50,60,65,65,57,47,38,28,3.35,3.27,4.33,3.74,3.5,3.66,3.43,3.35,3.43,3.94,3.98,3.78,13,11,13,12,13,12,11,10,10,10,11,11,148,168,212,222,263,283,300,280,232,207,152,148,13,11,8,2,0,0,0,0,0,0,1,9,Boston,Massachusetts,58.7,44.1,51.4,43.76,NA,2615,NA,MA,87,96,72,30.5,1,0.35,0.41
253,College Station,Texas,113564,93857,0.21,51,132.1,2199,849,30.5852N,96.2964W,https://www.usclimatedata.com/climate/college-station/texas/united-states/ustx2165,"College Station, Texas",College Station,Texas,61,65,72,79,86,92,95,96,91,81,71,62,41,44,51,58,67,73,75,74,69,60,51,42,3.23,2.83,3.19,2.68,4.33,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,2.68,3.19,4.92,3.23,3.23,NA,NA,NA,NA,NA,NA,College Station,Texas,79.3,58.8,69.05,40.09,NA,NA,NA,TX,33,60,0,22.6,1,0.34,0.5
254,Murrieta,California,113326,103466,0.0953,33.6,87,3324,1283,33.5721N,117.1904W,https://www.usclimatedata.com/climate/los-angeles/california/united-states/usca1339,"Los Angeles, California",Los Angeles,California,67,67,67,69,70,73,77,79,78,75,71,67,51,51,51,53,56,58,62,62,62,59,55,51,3.98,5.08,2.83,0.98,0.31,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.24,0.91,1.38,2.76,NA,NA,NA,NA,NA,NA,Los Angeles,California,71.7,55.9,63.8,18.67,NA,NA,NA,CA,27,22,0,33.9,0.9,0.6,0.53
255,Downey,California,113092,111772,0.0118,12.4,32.1,9134,3527,33.9382N,118.1309W,https://www.usclimatedata.com/climate/los-angeles/california/united-states/usca1339,"Los Angeles, California",Los Angeles,California,67,67,67,69,70,73,77,79,78,75,71,67,51,51,51,53,56,58,62,62,62,59,55,51,3.98,5.08,2.83,0.98,0.31,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.24,0.91,1.38,2.76,NA,NA,NA,NA,NA,NA,Los Angeles,California,71.7,55.9,63.8,18.67,NA,NA,NA,CA,59,52,0,34,0.9,0.5,0.48
256,Peoria,Illinois,112883,115007,-0.0185,48.2,124.8,2371,915,40.7515N,89.6174W,https://www.usclimatedata.com/climate/peoria/illinois/united-states/usil0935,"Peoria, Illinois",Peoria,Illinois,33,38,50,63,73,82,86,84,77,65,50,36,17,21,31,42,52,61,65,64,55,44,33,21,1.77,1.77,2.8,3.62,4.33,3.54,3.86,3.23,3.15,2.83,3.15,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,3,1,0,0,0,0,0,0,1,7,Peoria,Illinois,61.4,42.2,51.8,36.45,NA,NA,NA,IL,39,40,0,34.1,0.9,0.47,0.47
