Rank,City,State,Population.2017,Census.2010,Change,Land.Area.2016.sqmi,Land.Area.2016.km2,Population.Density.2016.sqmi,Population.Density.2016.km2,Location.Lon,Location.Lat,Climate.URL,key,city.x,state.x,high.jan,high.feb,high.mar,high.apr,high.may,high.jun,high.jul,high.aug,high.sep,high.oct,high.nov,high.dec,low.jan,low.feb,low.mar,low.apr,low.may,low.jun,low.jul,low.aug,low.sep,low.oct,low.nov,low.dec,avg.precip.jan,avg.precip.feb,avg.precip.mar,avg.precip.apr,avg.precip.may,avg.precip.jun,avg.precip.jul,avg.precip.aug,avg.precip.sep,avg.precip.oct,avg.precip.nov,avg.precip.dec,days.precip.jan,days.precip.feb,days.precip.mar,days.precip.apr,days.precip.may,days.precip.jun,days.precip.jul,days.precip.aug,days.precip.sep,days.precip.oct,days.precip.nov,days.precip.dec,hours.sun.jan,hours.sun.feb,hours.sun.mar,hours.sun.apr,hours.sun.may,hours.sun.jun,hours.sun.jul,hours.sun.aug,hours.sun.sep,hours.sun.oct,hours.sun.nov,hours.sun.dec,snow.jan,snow.feb,snow.mar,snow.apr,snow.may,snow.jun,snow.jul,snow.aug,snow.sep,snow.oct,snow.nov,snow.dec,city.y,state.y,annual.high,annual.low,avg.tmp,avg.annual.precip,annual.days.precip,annual.hours.sunshine,avg.snowfall,State.Abbr,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families
173,Escondido,California,151969,143911,0.056,37.1,96.1,4087,1578,33.1331N,117.0740W,https://www.usclimatedata.com/climate/escondido/california/united-states/usca0356,"Escondido, California",Escondido,California,69,69,71,75,78,82,87,89,87,81,74,68,43,45,47,51,55,58,62,63,62,55,48,42,3.03,3.43,2.64,1.14,0.24,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.08,0.2,0.71,1.18,2.13,NA,NA,NA,NA,NA,NA,Escondido,California,77.5,52.6,65.05,14.98,NA,NA,NA,CA,42,36,30,33.3,1,0.53,0.5
174,Paterson,New Jersey,148678,146199,0.017,8.4,21.8,17500,6800,40.9148N,74.1628W,https://www.usclimatedata.com/climate/newark/new-jersey/united-states/usnj0355,"Newark, New Jersey",Newark,New Jersey,39,42,51,62,72,82,86,84,77,65,55,44,24,27,34,44,53,63,69,67,60,48,39,30,3.54,2.87,4.17,4.21,4.09,4.02,4.76,3.7,3.82,3.58,3.66,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,5,1,0,0,0,0,0,0,0,5,Newark,New Jersey,63.3,46.5,54.9,46.24,NA,NA,NA,NJ,81,45,48,33,0.9,0.39,0.51
175,Joliet,Illinois,148462,147433,0.007,64.4,166.8,2302,889,41.5177N,88.1488W,https://www.usclimatedata.com/climate/joliet/illinois/united-states/usil0592,"Joliet, Illinois",Joliet,Illinois,31,36,47,61,71,81,84,82,76,64,49,35,17,20,29,39,49,60,64,63,55,43,33,21,1.81,1.69,2.24,3.5,4.09,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,4.17,2.99,2.83,3.07,2.2,NA,NA,NA,NA,NA,NA,Joliet,Illinois,59.8,41.1,50.45,36.82,NA,NA,NA,IL,34,42,17,33.4,1,0.53,0.55
176,Naperville,Illinois,147682,141853,0.0411,38.7,100.2,3802,1468,41.7492N,88.1620W,https://www.usclimatedata.com/climate/joliet/illinois/united-states/usil0592,"Joliet, Illinois",Joliet,Illinois,31,36,47,61,71,81,84,82,76,64,49,35,17,20,29,39,49,60,64,63,55,43,33,21,1.81,1.69,2.24,3.5,4.09,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,4.17,2.99,2.83,3.07,2.2,NA,NA,NA,NA,NA,NA,Joliet,Illinois,59.8,41.1,50.45,36.82,NA,NA,NA,IL,35,46,21,38.5,1,0.66,0.52
177,Rockford,Illinois,147051,152871,-0.0381,63.5,164.5,2325,898,42.2588N,89.0646W,https://www.usclimatedata.com/climate/rockford/illinois/united-states/usil1013,"Rockford, Illinois",Rockford,Illinois,29,34,47,61,72,81,85,82,75,63,48,33,13,18,28,38,48,58,63,61,52,41,30,18,1.38,1.42,2.32,3.35,4.02,4.65,3.94,4.61,3.35,2.68,2.6,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,5,1,0,0,0,0,0,0,2,11,Rockford,Illinois,59.2,39,49.1,36.29,NA,NA,NA,IL,42,42,0,36,1,0.49,0.48
178,Torrance,California,146758,145438,0.0091,20.5,53.1,7180,2770,33.8350N,118.3414W,https://www.usclimatedata.com/climate/torrance/california/united-states/usca1153,"Torrance, California",Torrance,California,66,66,67,70,71,74,77,78,78,75,70,65,46,48,49,51,55,58,61,62,61,56,50,46,3.27,3.78,2.2,0.75,0.24,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.16,0.63,1.18,2.09,NA,NA,NA,NA,NA,NA,Torrance,California,71.4,53.6,62.5,14.46,NA,NA,NA,CA,64,52,37,41.7,1,0.6,0.42
179,Bridgeport,Connecticut,146579,144229,0.0163,16.1,41.7,9064,3500,41.1874N,73.1958W,https://www.usclimatedata.com/climate/bridgeport/connecticut/united-states/usct0019,"Bridgeport, Connecticut",Bridgeport,Connecticut,37,40,47,58,68,77,82,81,74,63,53,42,23,25,31,41,51,60,66,66,58,47,38,28,3.11,2.8,4.06,4.13,3.82,3.62,3.46,3.98,3.46,3.62,3.39,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,5,1,0,0,0,0,0,0,1,6,Bridgeport,Connecticut,60.2,44.5,52.35,42.8,NA,NA,NA,CT,68,50,0,33.2,0.9,0.39,0.49
180,Savannah,Georgia,146444,136286,0.0745,103.6,268.3,1417,547,32.0025N,81.1536W,https://www.usclimatedata.com/climate/savannah/georgia/united-states/usga1191,"Savannah, Georgia",Savannah,Georgia,60,64,71,78,85,90,92,91,86,78,71,62,39,42,48,54,62,70,73,72,68,58,48,41,3.7,2.8,3.74,3.07,2.99,5.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59,6.57,4.57,3.7,2.36,2.95,NA,NA,NA,NA,NA,NA,Savannah,Georgia,77.3,56.3,66.8,47.98,NA,NA,NA,GA,43,49,0,31.8,0.9,0.39,0.43
181,Killeen,Texas,145482,127921,0.1373,53.5,138.6,2680,1030,31.0777N,97.7320W,https://www.usclimatedata.com/climate/killeen/texas/united-states/ustx0692,"Killeen, Texas",Killeen,Texas,58,63,70,78,84,91,95,96,89,80,68,60,34,38,45,53,62,69,72,71,65,56,44,36,1.65,2.44,2.91,2.44,4.49,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,1.85,3.15,3.23,2.91,2.72,NA,NA,NA,NA,NA,NA,Killeen,Texas,77.7,53.8,65.75,32.83,NA,NA,NA,TX,28,34,0,28.1,1,0.57,0.57
182,Bellevue,Washington,144444,122363,0.1805,33.5,86.8,4221,1630,47.5979N,122.1565W,https://www.usclimatedata.com/climate/bellevue/iowa/united-states/usia0071,"Bellevue, Iowa",Bellevue,Iowa,29,34,46,60,71,81,85,83,75,63,47,33,11,15,26,38,48,58,62,61,51,40,28,16,1.14,1.38,2.17,3.43,3.9,4.8,3.9,4.17,3.35,3.03,2.6,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,4,0,0,0,0,0,0,0,1,10,Bellevue,Iowa,58.9,37.8,48.35,35.64,NA,NA,NA,WA,40,39,38,38.2,1,0.62,0.47
