City.x,State.x,Population.2017,Change,Land.Area.2016.sqmi,Population.Density.2016.sqmi,key,avg.snowfall,State.Abbr,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,jan.avg,feb.avg,mar.avg,apr.avg,may.avg,jun.avg,jul.avg,aug.avg,sep.avg,oct.avg,nov.avg,dec.avg,jan.precip,feb.precip,mar.precip,apr.precip,may.precip,jun.precip,jul.precip,aug.precip,sep.precip,oct.precip,nov.precip,dec.precip,air.quality,City.y,State.y,Concert.Count
Santa Clarita,California,210888,0.1961,52.8,3446,"Los Angeles, California",NA,CA,34,30,0,37.7,1,0.56,0.46,141,1587,45,46,47,47,53,59,65,63,61,57,53,44,19.1,5.8,3.2,3,0.6,0,0,0,28.1,5.9,1.3,4,74,Los Angeles,California,16
Birmingham,Alabama,210710,-0.0072,146.1,1452,"Birmingham, Alabama",NA,AL,35,24,25,35.7,0.9,0.38,0.4,82,3482,35,38,46,53,61,70,72,72,66,54,43,39,5,5.3,5.6,5.9,4.9,4.6,6.2,5,4,3.3,3.6,5.7,50,Birmingham,Alabama,4
Oxnard,California,210037,0.0613,26.9,7729,"Oxnard, California",NA,CA,53,51,33,31.4,1,0.5,0.51,133,2976,47,47,49,50,53,57,60,60,58,55,50,46,3.1,2.7,1.4,1,0.2,0,0,0,0.1,0.5,0.6,2.1,48,NA,NA,NA
Fayetteville,North Carolina,209889,0.0465,147.7,1386,"Fayetteville, North Carolina",NA,NC,21,29,0,30.7,1,0.5,0.46,94,4981,34,35,43,52,60,68,72,71,65,53,42,38,2.6,3.1,2.9,3.7,3.7,4.9,4.4,5.2,5.2,3.7,3.2,3.6,37,NA,NA,NA
Rochester,New York,208046,-0.012,35.8,5835,"Rochester, New York",NA,NY,65,53,43,31.3,1,0.31,0.5,88,4701,18,17,25,36,47,56,61,59,53,43,33,25,2.1,2.2,2.2,3.1,2.9,3.8,4.5,3.5,3.3,4.4,2.6,3,36,Rochester,New York,7
Moreno Valley,California,207226,0.0717,51.3,4006,"Los Angeles, California",NA,CA,30,35,29,30.1,0.9,0.49,0.51,117,3449,41,44,46,47,53,55,63,63,56,51,46,39,10,5.7,2.7,1.7,2.2,1.2,0,0.1,1,3.9,19.8,4.9,85,Los Angeles,California,16
Glendale,California,203054,0.0591,30.4,6606,"Los Angeles, California",NA,CA,69,46,45,41,0.9,0.57,0.37,164,1676,45,46,49,52,56,60,65,65,63,57,50,44,3.3,2.5,2,0.6,0.2,0,0,0,0.2,0.5,0.6,2.1,74,Los Angeles,California,16
Yonkers,New York,202019,0.0308,18,11156,"New York, New York",NA,NY,71,36,53,38.5,0.9,0.5,0.45,151,1406,27,27,34,45,54,64,71,70,64,53,42,34,3.5,2.9,3.8,4.4,4.2,4.9,4.3,5,3.3,5.1,3.2,4.9,53,New York,New York,8
Huntington Beach,California,201874,0.0625,26.9,7459,"Los Angeles, California",NA,CA,55,65,32,41.4,1,0.55,0.39,169,2347,48,49,52,54,59,62,66,66,65,60,54,48,2.3,1.9,0.9,0.6,0.3,0,0.1,0,0.2,0.5,0.7,2.4,74,Los Angeles,California,16
Aurora,Illinois,200965,0.0155,44.9,4479,"Aurora, Illinois",NA,IL,40,53,22,32,1,0.54,0.57,98,1580,18,16,29,38,49,60,60,62,54,45,30,16,4.1,3.2,3.7,5.9,4,4.6,9.3,8.2,2.4,5,3.4,2.7,60,NA,NA,NA
Salt Lake City,Utah,200544,0.0756,111.2,1742,"Salt Lake City, Utah",NA,UT,57,70,44,31.8,1.1,0.46,0.47,105,8928,20,27,33,38,46,57,67,64,54,42,32,22,1.3,1.1,1.8,2.4,2,0.9,0.5,0.7,1.3,1.2,1.2,1.6,47,Salt Lake City,Utah,13
Amarillo,Texas,199826,0.0479,101.4,1968,"Amarillo, Texas",NA,TX,39,41,0,33.4,1,0.56,0.47,85,5127,23,25,34,41,50,62,65,64,57,44,33,24,0.8,0.7,1.2,1.4,2.7,2.4,3.5,4.2,2,1.7,0.7,0.7,40,NA,NA,NA
Montgomery,Alabama,199518,-0.0304,159.8,1252,"Montgomery, Alabama",NA,AL,27,32,16,35.1,0.9,0.46,0.46,88,5061,38,40,48,55,63,71,73,73,68,56,45,42,10.3,9,9.6,9.2,10.1,10.6,10.1,7.8,7.6,8.8,9.5,11.5,37,NA,NA,NA
Grand Rapids,Michigan,198829,0.0574,44.4,4424,"Grand Rapids, Michigan",NA,MI,55,49,39,31.1,1,0.43,0.47,88,2785,18,17,25,36,47,57,61,60,52,42,32,24,2.5,2,2.5,4.5,3.3,4.8,4.3,3.8,3.2,4.9,2.7,2.5,39,Grand Rapids,Michigan,6
Little Rock,Arkansas,198606,0.0263,118.7,1673,"Little Rock, Arkansas",NA,AR,32,28,19,35.9,0.9,0.48,0.43,95,8566,33,36,45,53,61,71,73,73,66,53,43,36,3.6,3.7,5.6,6.5,7,3.1,4.4,3.6,3.5,4.3,5.1,6.4,47,NA,NA,NA
Akron,Ohio,197846,-0.0063,62,3188,"Akron, Ohio",NA,OH,45,41,0,36.7,0.9,0.42,0.43,81,4932,20,20,29,40,50,59,63,62,55,44,34,26,1.9,1.7,2.6,2.6,3.5,4.7,3.5,3.3,3.1,3.2,2.3,2.6,34,NA,NA,NA
Augusta,Georgia,197166,0.0068,302.5,652,"Augusta, Georgia",NA,GA,0,0,0,33.5,0.9,0.43,0.4,87,3217,39,41,48,56,63,71,73,73,68,57,46,43,3.3,3.6,3.4,3.1,2.7,4.6,4.4,5.4,3.3,2.3,2.6,4.9,42,NA,NA,NA
Huntsville,Alabama,194585,0.0804,213.4,905,"Huntsville, Alabama",NA,AL,23,36,12,37,1,0.51,0.42,99,5635,35,38,46,54,62,71,73,72,65,54,44,39,11.1,7.1,6.7,10.2,7.9,4.8,5.6,7.4,33.9,26.5,11,12.3,37,NA,NA,NA
Columbus,Georgia,194058,0.022,216.4,913,"Columbus, Georgia",NA,GA,26,27,0,33.6,1,0.48,0.48,93,5091,38,39,47,54,62,70,73,73,67,56,45,41,4.8,5.5,4.9,5.1,3.5,4.3,4.3,5.4,2.9,2.8,3.9,6.6,39,NA,NA,NA
Grand Prairie,Texas,193837,0.1051,72.3,2637,"Grand Prairie, Texas",NA,TX,32,33,0,32.5,1,0.55,0.5,95,2732,39,43,51,58,65,74,76,77,70,59,50,41,11,3.5,1.7,2.9,7.5,16.6,10.9,0.9,10.9,23.8,4.1,11,54,NA,NA,NA
Shreveport,Louisiana,192036,-0.0365,107.1,1820,"Shreveport, Louisiana",NA,LA,32,36,0,35.1,0.9,0.46,0.44,88,6529,38,41,49,56,64,72,75,75,68,56,47,40,4.3,3.4,4.7,4.5,3.6,3.4,4,2.7,3,4.1,4.1,4.3,43,NA,NA,NA
Overland Park,Kansas,191278,0.1033,75.1,2516,"Kansas City, Kansas",NA,KS,35,45,15,38.1,1,0.6,0.47,103,1895,23,27,39,45,57,66,69,71,62,50,37,23,4.4,4.9,5.2,4.7,8.9,15.3,9.5,10.9,4.7,8.9,4,3.3,58,NA,NA,NA
Tallahassee,Florida,191049,0.0533,100.4,1901,"Tallahassee, Florida",NA,FL,32,43,30,26.5,0.9,0.34,0.44,98,5680,39,40,46,53,61,70,72,73,69,57,46,43,4.1,5,4.3,4.9,2.9,7.6,6.5,8.3,3.9,2.7,3.5,5.7,36,NA,NA,NA
Mobile,Alabama,190265,-0.0248,139.4,1384,"Mobile, Alabama",NA,AL,33,33,0,36.6,0.9,0.47,0.41,91,6194,42,44,51,59,65,73,74,75,71,60,49,46,4.5,4.6,5.1,5.2,5.3,5.5,6.3,7.3,3.9,4.3,3.3,6.3,31,Mobile,Alabama,1
Port St. Lucie,Florida,189344,0.1503,118.9,1557,"Fort Lauderdale, Florida",NA,FL,14,34,0,41.1,1,0.57,0.4,101,1226,55,51,58,58,67,72,74,74,73,72,62,56,1.7,2.4,5.3,8.9,6.5,10.4,11.4,5.5,5.3,8,6,7.8,29,Fort Lauderdale,Florida,2
Knoxville,Tennessee,187347,0.0474,98.5,1891,"Knoxville, Tennessee",NA,TN,31,25,0,33,0.9,0.42,0.42,81,6338,29,31,39,47,56,65,68,67,61,48,37,32,4.8,3.6,4.5,5.5,3.6,3.8,5.6,4,4.4,3.4,4.1,6.2,46,Knoxville,Tennessee,1
Worcester,Massachusetts,185677,0.0256,37.4,4933,"Worcester, Massachusetts",NA,MA,56,36,35,34,1,0.42,0.45,118,2913,18,18,25,37,48,55,63,61,55,44,33,25,3.2,3.5,3.5,4.2,3.9,5.6,3.4,5.3,4.1,5.7,3.4,4.8,38,Worcester,Massachusetts,4
Tempe,Arizona,185038,0.1442,40,4562,"Tempe, Arizona",NA,AZ,54,71,47,28.5,1.1,0.34,0.39,101,4596,45,48,54,60,68,79,84,83,77,65,54,45,0.8,0.7,0.5,0.2,0.2,0,0.9,1.4,0.8,0.2,0.4,0.9,74,Tempe,Arizona,2
Cape Coral,Florida,183365,0.1883,105.6,1703,"Tampa, Florida",NA,FL,17,37,0,45,0.9,0.59,0.37,98,1694,55,56,59,64,69,74,75,76,74,69,61,59,3,1.9,2.3,2.2,3.2,9.9,10.4,10.7,9.1,4,1.5,1.8,33,Tampa,Florida,4
Brownsville,Texas,183299,0.0473,132.5,1387,"Brownsville, Texas",NA,TX,39,40,0,30.7,0.9,0.56,0.54,78,3052,51,54,60,66,71,75,76,77,73,66,59,53,1.4,1.1,1.5,1.2,2.6,2.2,4.1,1.7,7.1,3.4,1.9,1.7,41,NA,NA,NA
Mckinney,Texas,181330,0.383,63,2735,"Dallas, Texas",NA,TX,0,0,0,34.6,1,0.64,0.58,101,1492,33,38,47,54,62,71,73,74,66,54,45,36,2.9,1.9,3.9,4.2,4.7,3.4,2.7,2.1,2.9,4.6,3.5,3.1,54,Dallas,Texas,12
Providence,Rhode Island,180393,0.0132,18.4,9740,"Providence, Rhode Island",NA,RI,79,59,47,29.4,0.9,0.35,0.53,110,3828,22,21,28,39,48,58,65,63,56,46,36,27,4,3.8,5,4.7,3.7,4.8,4,3.6,4.3,5.9,4.4,5.2,45,Providence,Rhode Island,4
Fort Lauderdale,Florida,180072,0.0879,34.6,5166,"Fort Lauderdale, Florida",NA,FL,59,56,39,42,1.1,0.43,0.37,114,6121,60,60,64,69,72,75,77,77,76,73,66,64,1.9,1.8,3.4,3.2,4.2,5.9,6.2,6.9,8.2,4.9,3.8,2.8,41,Fort Lauderdale,Florida,2
Newport News,Virginia,179388,-0.0074,69.1,2631,"Newport News, Virginia",NA,VA,35,40,26,32.9,0.9,0.47,0.45,100,3541,32,32,40,49,58,67,71,70,64,53,41,36,2.8,2.6,3,3.5,3.9,4.5,5.3,5.4,5.3,6,3.5,3.6,39,NA,NA,NA
Chattanooga,Tennessee,179139,0.0684,143.1,1241,"Chattanooga, Tennessee",NA,TN,29,30,26,37,0.9,0.46,0.42,91,7052,31,32,41,49,57,66,70,70,63,50,38,35,5,3.9,4.8,6,3.7,3.4,5.5,4.2,4.5,4.3,4.5,6.5,44,NA,NA,NA
Rancho Cucamonga,California,177452,0.0737,40,4413,"Los Angeles, California",NA,CA,38,43,25,36.1,1,0.54,0.47,140,2529,44,45,48,51,55,60,65,65,64,57,49,43,2.3,2,1.2,0.7,0.4,0,0.1,0,0.2,0.4,0.6,2.6,85,Los Angeles,California,16
