city,state,pop2017,area.sq.mi,pop.density,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,concerts,weather.avg,precip.avg,air.quality,results,rank.by.size,rank.by.score
Oxnard,California,0.15586288058525952,0.4928979427903271,-1.0630281963544426,-0.49624234046663285,-0.31525020900830575,-0.5203243820734925,-0.8240890884481746,0.5209952074067536,0.09895114103364207,0.8135443489362308,4.237655186371848,-0.4592393538431044,0.7449094665141097,-0.059768807672563797,-0.8635091854709503,-0.1421215784643399,2.321243031836164,108,216
Joliet,Illinois,0.2587440523099998,0.21776561530772784,0.5697090740222325,0.6847065076273398,0.332609802015371,0.2832554209053091,-0.27692489863736697,0.5209952074067536,0.4820275500974922,1.5902513098546278,-2.973628195701627,-0.9735574189963339,-0.17221976581323842,0.9248707579336931,0.48642818284819833,0.36836709413326985,2.3234002953134487,175,217
Plano,Texas,0.0287029219123714,0.16420652222444856,0.06186670947536912,0.3739304949710312,-0.0992968720004135,0.2832554209053091,1.118343785380193,0.5209952074067536,1.6312567772890414,0.6193676087066315,-0.050134932698867145,-1.126264682996699,-1.4562006910715257,-0.9631113800365638,1.2184083627237203,0.11312275783446499,2.4384480100252652,69,218
Port St. Lucie,Florida,0.19043730342732287,-0.18209336730031625,0.7938456626403683,1.9278105582525742,0.9084853673697504,1.1370589615702857,1.8296572321342432,0.5209952074067536,0.9927960955159577,-1.3223997935893588,-1.9991304413673738,-1.5281902018456597,0.37805777358317044,-1.433564498548427,1.1823638995993484,-0.950395310077222,2.445734448771417,130,219
Hillsboro,Oregon,0.3281969885057612,0.5068379807161121,-0.0034187129811885535,9.992797834608858e-4,-1.754939122394254,-0.771443070504368,-0.11277564169412425,0.5209952074067536,1.1204882318705744,0.6193676087066315,1.1192623725022368,-0.9057553937801718,0.7449094665141097,1.2124504433425727,0.44184819669996556,-0.5675288056290146,2.499495029065057,283,220
High Point,North Carolina,0.320479438652792,0.2852647463167922,0.6560543101744539,1.1819481278774335,1.3403920413855348,1.1370589615702857,0.46174675760722417,-1.2995610791494325,0.2266432773882588,0.23101412824743306,-2.973628195701627,0.39592132455893997,0.7449094665141097,0.19580612420418247,0.12536282943809354,-0.48244736019607976,2.5469648988883944,261,221
Riverside,California,-0.040778418342169005,0.09450633259552345,0.059159019143069494,0.24962008990850776,0.11665646500747875,-0.5203243820734925,-0.8240890884481746,0.5209952074067536,-0.15643313167559136,0.23101412824743306,2.0937601268364903,-0.09823938174624136,0.7449094665141097,-0.21425452358594954,-1.053459861846306,1.4318851620449569,2.6349272099863987,58,222
Vista,California,0.3370958130385418,0.5530602117331888,-0.373168870580771,0.12530968484598431,1.4123764870548323,-0.5705481197596677,-0.41371594609006884,0.5209952074067536,0.2266432773882588,0.23101412824743306,4.432554737238698,-1.171466033140807,-1.6396265375369954,-0.5044834760246417,-0.9181225718729908,0.4109078168497373,2.6588258087974856,304,223
Ventura,California,0.3216874465643955,0.5303159393279605,-0.25011938770182124,-2.2987432138732227,-0.6751724373547928,1.1370589615702857,1.2277766233423542,0.5209952074067536,0.6097196864521089,-0.7398695729005622,6.381550245907205,-0.001728390898010643,-2.1899040769334044,-0.8899977713456457,-0.8635091854709503,-0.1421215784643399,2.677938495628313,267,224
El Cajon,California,0.33320946946677166,0.5838750324112398,-0.8906385785313664,-0.682707948060418,0.332609802015371,-0.771443070504368,-0.08541743220358348,0.5209952074067536,0.09895114103364207,0.4251908684770323,3.6529565337712953,-0.6632562585475921,0.7449094665141097,-0.40193975016576755,-0.9182291151976334,0.4109078168497373,2.6899731847352237,296,225
Elgin,Illinois,0.3189038488040477,0.4158608910951993,0.36031435499106135,0.24962008990850776,-0.17128131766971091,-0.31942943132879215,-0.2222084796562854,0.5209952074067536,0.7374118228067257,1.2018978293954294,-1.0246326870331204,-1.3003509639571151,0.7449094665141097,1.0554637836045588,-0.2200710443878975,0.36836709413326985,2.715770464626742,258,226
Richmond,California,0.32294056680464817,0.4694199841784786,0.16475894210275496,-0.682707948060418,-0.24326576333900832,-1.0225617589352436,0.3796721291356019,-1.2995610791494325,-0.2841252680302081,-0.15733935221176437,4.627454288105549,0.5577910243993269,0.7449094665141097,0.3181869518013515,-0.7263051206233352,-0.3548251920466773,2.8144418706457337,273,227
North Charleston,South Carolina,0.3215688178483183,0.14953279809204328,0.8161088942614986,1.1819481278774335,0.6205475846925607,1.1370589615702857,-0.6052234125238504,0.5209952074067536,-0.7948938134486743,0.0368373880178338,-2.1940299922342246,1.7385235896501496,0.7449094665141097,-0.5378240923562958,0.40398587818388604,-0.6526102510619497,2.887435152489878,266,228
Virginia Beach,Virginia,-0.24580058543640707,-1.105070615228609,0.7056952995999471,0.7468617101586015,0.4045942476846684,0.1325842078467838,0.2702392911734407,0.5209952074067536,0.8651039591613424,-0.15733935221176437,1.3141619233690878,-1.0114288204684243,0.7449094665141097,-0.17170464338572516,0.4219363410174154,-0.5249880829125472,2.9107495542886737,44,229
